Oil_store,주소,가격,셀프,상표
밀양주유소,경남 밀양시 상남면 밀양대로 1481,1639,N,현대오일뱅크
해창석유(주)밀양강주유소,경남 밀양시 밀양대로 2255 (교동),1639,N,SK에너지
금산주유소,경남 밀양시 상동면 상동로 472,1639,N,GS칼텍스
무안농협주유소,경남 밀양시 무안면 사명로 457,1639,N,SK에너지
CJ대한통운㈜ 남밀양IC주유소,경남 밀양시 상남면 밀양대로 1373,1639,Y,S-OIL
청도농협주유소,경남 밀양시 청도면 청도로 157,1640,N,NH-OIL
인산주유소,경남 밀양시 청도면 창밀로 2281,1640,N,SK에너지
부북농업협동조합주유소,경남 밀양시 창밀로 3509 (내이동),1640,N,NH-OIL
송백주유소,경남 밀양시 산내면 산내로 384,1645,N,GS칼텍스
사계절주유소,경남 밀양시 산외면 표충로 9,1645,N,S-OIL
우리주유소,경남 밀양시 밀양대로 1974 (내이동),1648,N,현대오일뱅크
평화주유소,경남 밀양시 밀양대로 2108 (교동),1648,N,GS칼텍스
유진주유소,경남 밀양시 중앙로 447 (내이동),1648,N,현대오일뱅크
삼랑진주유소,경남 밀양시 삼랑진읍 천태로 94,1649,N,현대오일뱅크
가산주유소,경남 밀양시 부북면 창밀로 3055,1652,N,현대오일뱅크
천일주유소,경남 밀양시 석정로 79 (내일동),1655,N,SK에너지
제일주유소,경남 밀양시 하남읍 명례로 72,1655,N,SK에너지
용전주유소,경남 밀양시 산내면 밀양대로 3666-40,1658,N,SK에너지
예림주유소,경남 밀양시 상남면 밀양대로 1473,1659,N,SK에너지
강변주유소,경남 밀양시 밀양대로 1719,1669,N,GS칼텍스
강남주유소,경남 밀양시 단장면 표충로 412,1670,N,S-OIL
동산주유소,경남 밀양시 무안면 창밀로 2405,1674,N,GS칼텍스
남도주유소,경남 밀양시 하남읍 초하로 646,1695,N,GS칼텍스
남명주유소,경남 밀양시 산내면 산내로 1115,1698,Y,S-OIL
밀양현대주유소,경남 밀양시 밀양대로 1811 (삼문동),1699,N,현대오일뱅크
약수정주유소,경남 밀양시 산내면 산내로 766,1710,N,S-OIL
양효주유소,경남 밀양시 무안면 사명로 1081,-,N,자가상표
산외주유소,경남 밀양시 산외면 산외로 690,-,N,GS칼텍스
삼락정주유소,경상남도 밀양시 산내면 밀양대로 3541,-,N,S-OIL
금성주유소,경남 밀양시 무안면 사명로 272,-,N,현대오일뱅크
삼천포주유소,경남 사천시 삼천포대교로 484,1585,Y,GS칼텍스
새고개주유소,경남 사천시 새고개길 18,1585,N,자가상표
삼포주유소,경남 사천시 삼천포대교로 911 (송포동),1589,Y,알뜰주유소
목화주유소,경상남도 사천시 사천대로 916,1590,Y,SK에너지
정동농협주유소,경남 사천시 정동면 상정대로 2540-27,1590,N,NH-OIL
윤창주유소,경남 사천시 삼천포대교로 831 (송포동),1590,N,현대오일뱅크
아남주유소,경남 사천시 삼천포대교로 736,1595,Y,GS칼텍스
(주)하나주유소,경남 사천시 삼천포대교로 692,1595,Y,현대오일뱅크
